dispatch_logic_name,break_point,large_airtanker,hand_crew,dozer,engines,air_boat,fire_boat,helicopter,helitack_crew,scooper_or_seat,smoke_jumper_aircraft,smoke_jumper,tractor_plow,water_tender
SA_TX_004AHR-MCR 5,1,,,,2,1,1,,,,,,,0
SA_TX_005Matagorda,1,,,0,1,,,,,,,,0,
SA_TX_005Padre Island,1,,,0,1,,,,,,,,0,
SA_TX_005Santa Ana Staffing,1,,,0,1,,,,,,,,,
SA_TX_005Falcon Staffing,1,,,0,1,,,,,,,,,
SA_TX_005Palmview Staffing,1,,,0,1,,,,,,,,,
SA_TX_005Aransas,1,,,0,1,,,,,,,,0,
SA_TX_005Laguna Staffing,1,,,0,1,,,,,,,,,
SA_VA_001Shen,1,,1,,1,,,,1,,,,,
SA_VA_001MTTS,1,,1,,1,,,,1,,,,,
SA_VA_001NCR,1,,1,,1,,,,0,,,,,
SA_VA_001BLRI,1,,1,,1,,,,1,,,,,
SA_VA_001FS Wilderness,1,,1,,1,,,,1,,,,,
SA_VA_001FS,1,,0,,1,,,,1,,,,,
SA_VA_001Unassigned,1,,0,,1,,,,1,,,,,
SA_VA_001FS: 4,1,,0,,1,,,,1,,,,,
SA_VA_001SHEN: 4,1,,1,,1,,,,1,,,,,
CA_CA_006.enf_urban1,1,0,0,0,2,,,0,0,0,,,,0
CA_CA_006.blm_wui,1,0,1,0,2,,,0,0,0,,,,0
CA_CA_006.tmu_wui,1,0,0,,2,,,0,0,0,,,,0
CA_CA_006.tnf_wilderness,1,,0,,1,,,1,1,,,,,
CA_CA_006.enf_wild,1,,0,,1,,,1,1,,,,,
CA_CA_006.tnf_supp,1,0,0,0,1,,,0,0,,,,,0
CA_CA_006.tmu_wilderness,1,,0,,1,,,1,1,,,,,
AK_AK_001Alaska Standard,1,0,1,0,2,0,0,1,1,0,1,4,0,1
AK_AK_001Alaska Aerial Only,1,0,0,0,0,0,0,1,1,0,1,4,0,0
AK_AK_001Alaska Southeast,1,0,1,0,1,0,0,3,1,0,0,0,0,1
SW_AZ_002FM 1 Normal,1,,1,,2,,,2,1,,,,,1
SW_AZ_003WMAT_East,1,0,1,1,2,0,0,1,1,0,,,,1
SW_AZ_003Clifton_RD,1,0,1,1,1,0,0,1,1,0,,,,0
SW_AZ_003Springerville_RD,1,0,0,1,3,0,0,1,1,0,,,,0
SW_AZ_003Black Mesa_RD,1,0,0,1,4,0,0,1,1,0,,,,0
SW_AZ_003Alpine_RD,1,0,1,1,3,0,0,1,1,0,,,,0
SW_AZ_003WMAT_West,1,0,0,0,2,0,0,1,1,1,,,,0
SW_AZ_003Lakeside_RD,1,0,0,1,3,0,0,1,1,0,,,,0
SW_AZ_004RIPARIAN BP ADJ,1,0,0,0,3,,1,0,0,0,,,,1
SW_AZ_004UPLAND,1,0,0,0,2,,,0,0,0,,,,1
SW_AZ_004WILDERNESS,1,0,0,0,2,,,0,1,1,,,,0
SW_AZ_005Timber,1,,,,1,,,,,,,,,1
SW_AZ_005Grass-Brush-PJ,1,,,1,2,,,1,1,1,,,,1
SW_AZ_005Mojave Desert,1,,1,1,2,,,1,1,1,,,,1
SW_AZ_005Wilderness and Park,1,,,,2,,,,,,,,,1
SW_AZ_006desert,1,0,1,0,3,0,0,1,1,0,0,0,0,0
SW_AZ_006timber,1,0,1,0,3,0,0,1,1,0,0,0,0,0
SW_AZ_006wilderness,1,0,2,0,4,0,0,1,1,0,0,0,0,0
SW_AZ_006brush,1,0,1,0,3,0,0,1,1,0,0,0,0,0
SW_AZ_006riparian,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SW_NM_001Wilderness,1,0,1,0,1,,,,,,,,,
SW_NM_001Farm-Jia Dispatch,1,,1,,1,,,0,,0,,,,1
SW_NM_001Rattlesnake,1,,1,,2,,,1,1,1,,,,1
SW_NM_001East Carson_WUI,1,1,2,1,6,0,0,2,2,1,0,0,0,2
SW_NM_002Non WUI,1,,,0,3,,,,,,,,,1
SW_NM_002Smokey Bear WUI,1,,,,3,,,,,,,,,1
SW_NM_002WUI,1,,,,4,,,,,,,,,1
SW_NM_003LCDO fils,1,,,,2,,,,,,,,,
SW_NM_004Wilderness,1,,2,,0,,,4,1,,1,5,,
SW_NM_004BLM Brush/Grass,1,,,,2,,,1,1,0,0,0,,1
SW_NM_004Timber,1,,2,,1,,,3,1,,1,4,,1
SW_NM_004WUI,1,1,1,1,1,,,1,1,,1,1,,1
SW_NM_004PJ/Grass,1,,1,,2,,,1,1,,1,1,,1
SW_NM_005Pondo,1,,0,,1,,,,,,,,,
SW_NM_005PondoWUI,1,,1,,2,,,2,1,1,,,,1
SW_NM_005ABQ,1,,,,2,,,,,,,,,
SW_NM_005BLM EAST,1,,0,,1,,,,,,,,,
SW_NM_005Socorro,1,,,,1,,,,,,,,,
SW_NM_005BLM NPS,1,,0,,2,,,,,,,,,
SW_NM_005Bia North,1,,0,,2,,,,,,,,,
SW_NM_007NAA-Grass,1,0,1,0,2,,,0,0,,,,,1
SW_NM_007TCA-GRASS,1,0,0,0,2,,,0,0,0,0,0,0,0
SW_NM_007KNF WUI-D1,1,0,0,0,2,,,0,0,,,,,
SW_NM_007TCA-Canyon,1,0,0,0,2,,,0,0,0,0,0,0,0
SW_NM_007cof wilderness,1,0,0,0,2,,,0,0,0,0,0,0,0
SW_NM_007cof nonwui,1,0,0,0,2,,,0,0,0,0,0,0,0
SW_NM_007TCA-WUI,1,0,0,0,2,,,0,0,0,0,0,0,0
SW_NM_007cof wui,1,0,0,0,2,,,0,0,0,0,0,0,0
SW_NM_007NAA-TimberPJ,1,0,1,0,2,,,0,0,,,,,1
SW_NM_007TCA-FOR,1,0,0,0,2,,,0,0,0,0,0,0,0
SW_NM_007HOA-All FWA's,1,0,1,0,2,,,0,0,0,0,0,0,0
SW_NM_007KNF Non WUI-D4,1,0,0,0,2,,,0,0,,,,,
SW_NM_007KNF Non WUI-D1,1,0,0,0,2,,,0,0,,,,,
SW_NM_007KNF Wilderness,1,0,0,0,2,,,0,0,,,,,
SW_NM_007GCP-Backcountry,1,0,0,0,2,0,0,2,1,0,0,0,0,0
SW_NM_007PNF WUI,1,0,0,0,2,0,0,0,0,0,0,0,0,0
SW_NM_007PNF Non-WUI,1,0,0,0,2,0,0,0,0,0,0,0,0,0
SW_NM_007PNF Wilderness,1,0,0,0,2,0,0,0,0,0,0,0,0,0
SW_NM_007GCP-WUI,1,0,0,0,1,0,0,1,1,0,0,0,0,0
SW_TX_002fws interest,1,0,,0,3,,,,,,,,0,
SW_TX_002SW_TX_002_DispLog_1,1,,,,3,,,,,,,,,
SW_TX_002BLM_Sabinoso,1,,1,,,,,,,,,,,
SW_TX_004WFU,1,,2,,2,,,,,,,,,0
SW_TX_004AMR,1,,2,,3,,,,,,,,,1
SW_TX_004Non_BIBE,1,,2,,3,,1,,,,,,,1
CA_CA_013Handcrew,1,,1,,1,,,,1,,,,,
CA_CA_013Engine,1,,1,,1,,,,1,,,,,1
NR_MT_010Lolo Limited Acc.,1,,1,,1,,,1,1,,1,0,,
NR_MT_010Lolo Developed,1,,2,,3,,,2,1,,1,0,,
NR_MT_010Lolo WUI,1,,2,,3,,,1,1,,0,0,,
NW_WA_005Juniper Wilderness,1,,,,3,,,,,,,,,1
NW_WA_005Basin 2,1,,,,3,,,,,,,,,1
NR_MT_009ST LAA RAA,1,,0,,2,,,0,0,,0,0,,0
NR_MT_009GNP MCD,1,,0,,1,,,,,,0,0,,
NR_MT_009FNF DEV,1,,,,1,,,0,0,,0,0,,
NR_MT_009KNF RAA,1,,1,,4,,,1,1,,0,0,,1
NR_MT_009KNF LAA,1,0,1,,3,,,1,1,,1,1,,
NR_MT_009ST DEV,1,,0,,3,,,1,1,,,,,0
NR_MT_009FNF LAA,1,,1,,1,,,1,1,,0,0,,
NR_MT_009FNF RAA,1,,1,,1,,,0,0,,0,0,,
NR_MT_009KNF DEV,1,0,2,,4,,,1,1,,0,0,,1
NR_MT_009GNP LAA,1,,0,,1,,,1,1,,0,0,,
NR_MT_009GNP EAST,1,,1,,0,,,,,,0,0,,
GB_ID_001FAIRFIELD RESPONSE,1,,,,2,,,,,,,,,
GB_ID_001WILDERNESS RESPONSE,1,,,,1,,,5,1,,,,,
GB_ID_001SNRA RESPONSE,1,,,,2,,,,,,,,,
GB_ID_001STANDARD RESPONSE,1,,,,2,,,,,,,,,
GB_NV_002Char_HT_IR,1,0,0,0,3,0,0,2,2,0,1,2,0,0
GB_NV_002Owy_FMU_IR,1,0,0,0,2,0,0,2,1,0,0,0,0,0
GB_NV_002Wild_FMU_IR,1,0,1,0,2,0,0,3,2,0,1,3,0,0
GB_NV_002Cort_FMU_IR,1,0,0,0,3,0,0,2,2,0,0,0,0,0
GB_NV_002Ruby_RLR_IR,1,0,0,0,3,0,0,2,1,0,1,2,0,1
GB_NV_002Gosh_FMU_IR,1,0,0,0,2,0,0,2,1,0,1,2,0,0
GB_NV_002Tusc_FMU_IR,1,0,0,0,3,0,0,2,2,0,1,2,0,0
GB_NV_002Del_FMU_IR,1,1,0,0,3,0,0,3,2,0,1,3,0,0
GB_NV_002Owy_DVT_IR,1,0,0,0,2,0,0,0,0,0,0,0,0,0
GB_NV_002Char_FMU_IR,1,0,0,0,3,0,0,2,2,0,1,3,0,0
GB_NV_002Ruby_FMU_IR,1,0,0,0,4,0,0,2,2,0,1,2,0,0
GB_NV_002Ruby_HT_IR,1,0,0,0,3,0,0,2,2,0,1,3,0,0
GB_NV_002Char_Pri_Mix_IR,1,0,0,0,3,0,0,2,2,0,1,2,0,0
GB_NV_005Park,1,,,,2,,,1,1,,,,,
GB_NV_005North 5,1,,,,2,,,,,,,,,
GB_NV_005South 3,1,,,,2,,,1,1,,1,,,
GB_NV_005South 5,1,,,,2,,,,,,,,,
GB_NV_005North 3,1,,,,2,,,,,,,,,
NR_ND_001Missouri Logic Table,1,0,0,0,3,0,0,0,0,0,0,0,0,1
NR_ND_001Badlands Logic Table,1,0,0,0,3,0,0,0,0,0,0,0,0,1
GB_UT_001Park Service SWT,1,0,1,,1,,,0,0,0,0,0,,0
GB_UT_001Richfield SWT,1,0,0,,2,,,0,0,0,0,0,,0
GB_UT_001Filmore SWT,1,0,0,,2,,,0,0,0,0,0,,0
GB_UT_001Teasdale SWT,1,0,0,,2,,,0,0,0,0,0,,0
GB_UT_003Camp William,1,,,,0,,,,,,,,,
GB_UT_003BLM Other,1,1,1,,1,,,1,1,2,,,,1
GB_UT_003WUI_FS,1,,,,1,,,,,,,,,
GB_UT_003Mountains,1,,1,,1,,,,,,,,,
GB_UT_003Wilderness SJ,1,,2,,1,,,1,1,,1,2,,
GB_UT_003BLM_Bonne_Carring,1,1,1,,1,,,1,1,2,,,,
GB_UT_003Desert 5,1,1,1,,1,,,1,1,1,,,,1
GB_UT_003FS_West5 5,1,,0,,2,,,1,1,,,,,1
GB_UT_003WUI_FS 5,1,,,,1,,,,,,,,,1
GB_UT_003FS_West,1,,0,,2,,,1,1,,,,,1
GB_UT_003Wilderness,1,,2,,1,,,1,1,,,,,
GB_UT_003Desert,1,1,1,,1,,,1,1,1,,,,1
GB_UT_003DOD_LAND,1,1,,,1,,,1,1,2,,,,
NR_MT_011CSKT Wilderness,1,0,2,0,1,0,0,2,1,0,0,0,0,0
NR_MT_011CSKT Developed,1,0,1,0,2,0,0,1,1,0,0,0,0,0
NR_MT_011CSKT Limited Acc.,1,0,2,0,2,0,0,3,1,0,0,0,0,0
NR_MT_011CSKT WUI,1,0,1,0,2,0,0,2,1,0,0,0,0,0
CA_CA_008WUI_Lake_I_Threat,1,1,3,1,5,,,1,1,1,,,,1
CA_CA_008Wilderness_Timber,1,,,,1,,,2,1,,,,,
CA_CA_008WUI_Timber,1,,1,,3,,,0,0,1,,,,0
CA_CA_008General_Kaweah,1,,0,,2,,,0,0,,,,,0
CA_CA_008Wilderness_Grass/Shr,1,,1,,2,,,2,1,,,,,
CA_CA_008WUI_Grass/Shrub,1,,3,,4,,,1,1,1,,,,1
CA_CA_008General _Timber,1,,0,,2,,,0,0,,,,,0
CA_CA_008General_Grass/Shrub,1,,0,,3,,,1,1,0,,,,1
EA_IA_001CL-PC Changes,1,,,,1,,,,,,,,0,1
EA_IN_001Southeastern,1,,,,1,,,,,,,,,
EA_IN_001Northern Indiana,1,,,,1,,,,,,,,,
EA_IN_001Southwestern Indiana,1,,0,,1,,,,0,,,,,
EA_MI_001WUI response,1,,,,1,,,,,,,,,
EA_MI_001General response,1,,,,1,,,,,,,,,
EA_MI_001wilderness response,1,,,,2,0,,,,,,,,
EA_MI_002Huron,1,,,1,2,,,1,1,,,,,
EA_MI_002Manistee,1,,,1,2,,,1,1,,,,,
EA_MN_001SUP-_Non_Blowdown,1,,1,,0,,1,0,0,,,,,
EA_MN_001SUP-East -Blowdown,1,,1,,0,,1,0,0,,,,,
EA_MN_001SUP_West-Blowdown,1,,,,1,,1,,,,,,,
EA_MN_001Crane Medows,1,,,,2,,,,,,,,,
EA_MN_001SUP_West-Ely,1,,,,2,,1,,,,1,1,,
EA_MN_001SUP_West-Laurention,1,,,,2,,1,,,,,,,1
EA_MN_001Fond Du Lac,1,,,,1,,,,,,,,,
EA_MN_001SUP-East,1,,1,,2,,1,1,1,,,,,1
EA_MN_001Chippewa,1,,,,2,,,,,,,,,1
EA_MN_001Sherburne,1,,,,3,,,,1,,,,,1
EA_MN_001BIA Woodland,1,,,,1,,,,,,,,,
EA_MN_001Voygers,1,,1,,0,,1,1,1,,,,,
EA_MN_001Rice Lake,1,,,,2,,,,,,,,,
EA_MN_002FWS-SE,1,,,,1,,,,0,,,,,
EA_MN_002FWS_Morris,1,,,,2,,,,0,,,,,
EA_MN_002Red Lake,1,,,,4,,,,0,,,,,2
EA_MN_002White Earth,1,,,,3,,,,0,,,,,2
EA_MN_002FWS_Litchfield,1,,,,2,,,,0,,,,,2
EA_MN_002FWS_Fergus Fall,1,,,,2,,,,0,,,,,
EA_MN_002FWS-MNBND,1,,,,2,,,,0,,,,,
EA_MN_002Agassiz,1,,,,2,,,,0,,,,,1
EA_MN_002FWS_Windom,1,,,,1,,,,0,,,,,
EA_MN_002FWS-MNMVR,1,,,,2,,,,0,,,,,
EA_NJ_001NY Logic 5 FDL,1,,,,2,,,,0,,,,,0
EA_NJ_001North NJ Logic 5 FDL,1,,0,,2,,,0,0,0,,,,1
EA_NJ_001South NJ Logic 5 FDL,1,,,,2,,,,0,0,,,0,1
RM_CO_007Deadman South,1,,1,,2,,,,,,,,,1
RM_CO_007Clear Creek,1,,1,,2,,,,,,,,,1
RM_CO_007Divide North,1,,1,,2,,,,,,,,,1
RM_CO_007Boulder Flats South,1,,1,,2,,,,,,,,,1
RM_CO_007Big Thompson North,1,,1,,2,,,,,,,,,1
RM_CO_007Deadman North,1,,1,,2,,,,,,,,,1
RM_CO_007Sulphur North,1,,1,,2,,,,,,,,,1
RM_CO_007Grasslands,1,,1,,2,,,,,,,,,1
RM_CO_007Boulder Flats North,1,,1,,2,,,,,,,,,1
RM_CO_007Sulphur South,1,,1,,2,,,,,,,,,1
RM_CO_007Divide South,1,,1,,2,,,,,,,,,1
RM_CO_007Big Thompson South,1,,1,,2,,,,,,,,,1
EA_OH_001WNF1,1,,1,,2,,,,,,,,,
EA_OH_001Basic,1,,,,1,,,,,,,,,
EA_PA_001Test,1,,,,1,,,,,,,,,
EA_PA_001Allegheny,1,,,,1,,,,,,,,,
EA_PA_001NPS,1,,,,1,,,,,,,,,0
EA_PA_001FWS Erie,1,,,,1,,,,,,,,,0
EA_WI_002NW FMU FWS,1,,,,1,,,,,,,,,0
EA_WI_002So_FMU_BIA_W,1,,,,1,,,,,,,,0,1
EA_WI_002So FMU FWS FWA,1,,,,1,,,,,,,,,0
EA_WI_002NW_FMU_BIA_E_FWA,1,,,,1,,,,,,,,0,1
EA_WI_002NW_FMU_BIA_W_FWA,1,,,,1,,,,,,,,0,1
GB_ID_004Critical,1,0,0,0,2,0,0,0,0,0,0,0,0,0
GB_ID_004Urban Interface,1,0,0,0,3,0,0,0,0,0,0,0,0,1
GB_ID_004Conditional,1,0,0,0,1,0,0,3,1,0,0,0,0,0
RM_CO_002standard,1,,1,,2,,,,,,,,,
RM_CO_002Minimum Impact,1,,1,,2,,,,,,,,,
RM_CO_003ENG 2nd at FDL2,1,,,,1,,,,,,,,,
RM_CO_003HELI+ENG at FDL1,1,,,,1,,,1,1,,,,,
RM_CO_003MVP Area,1,,,,1,,,1,1,,,,,
RM_CO_003Dolores North,1,,,,1,,,,,,,,,
RM_CO_003CRW 2nd at FDL2,1,,,,1,,,,,,,,,
RM_CO_003HELI+ENG FDL1 COL,1,,,,1,,,1,1,,,,,
RM_CO_004General Forest,1,,1,,1,,,,,,,,,
RM_CO_004WUI,1,,1,,2,,,,,,,,,0
RM_CO_004WFU,1,,1,,1,,,,,,,,,
RM_CO_005Standard,1,,,,1,,,,,,,,,
RM_CO_005Douglas Pass,1,,0,,1,,,3,1,,1,2,,
RM_CO_005Interface,1,,,,2,,,,,,,,,
RM_CO_0052 eng low fil,1,,,,2,,,,,,,,,
RM_CO_005Routt,1,,,,2,,,,,,,,,
RM_CO_005DinoNPS,1,,,,1,,,4,1,,,,,
RM_CO_005WSA,1,,1,,1,,,3,1,,,,,
RM_CO_006Standard,1,,,,1,,,,,,,,,
RM_CO_006Test2,1,1,2,,10,,,1,1,1,1,1,,2
RM_CO_006WalkIns,1,,,,1,,,1,1,,1,1,,
RM_CO_006pj_sig_3_level,1,,,,1,,,,,,1,1,,
RM_CO_008All BIA Ramp 2,1,0,,0,2,,,0,0,,,,,0
RM_KS_001BI FM L 5 FDL,1,,,,4,,,,,,,,,0
RM_NE_001Niobrara Suppress,1,,,,2,,,,,,,,,
RM_NE_001Bessey Suppress,1,,,,2,,,,,,,,,
RM_NE_001Crescent Suppress,1,,,,2,,,,,,,,,
RM_NE_001Suppression,1,,,,2,,,,,,,,,
RM_NE_001NE State Suppress NW,1,,,,1,,,,,,,,,
RM_NE_001McKelvie Suppress,1,,,,2,,,,,,,,,
RM_NE_001ONG Suppression,1,,,,2,,,,,,,,,
RM_NE_001Soldier Cr Suppress,1,,,,2,,,,,,,,,
RM_NE_001Valentine Suppress,1,,,,2,,,,,,,,,
RM_NE_001Agate Suppress,1,,,,1,,,,,,,,,0
RM_NE_001Scottsbluff Suppress,1,,,,2,,,,,,,,,
RM_NE_001North Platte Suppres,1,,,,2,,,,,,,,,1
RM_NE_001NE State Supp. Other,1,,,,1,,,,,,,,,
RM_SD_001Suppression,1,,1,,1,,,1,1,,,,,
RM_SD_001Suppression_WIn,1,,1,,1,,,1,1,,,,,
RM_SD_00301-24-12,1,,,,4,,,,,,,,,1
EA_WI_001AIP_1,1,,,,,,2,,,,,,,
EA_WI_001MTE_1,1,,,1,6,,,,,,,,,
EA_WI_001WDNR_1,1,,,1,8,,,,,,,,,2
EA_WI_001Cheni,1,,,,4,,,0,1,,,,,
EA_WI_001Cheni_2,1,,,,3,,,0,1,,,,,
EA_IL_001Test 1,1,,,,2,,,,,,,,,2
EA_IL_001Southern FMU,1,,,0,2,,,,,,,,1,1
EA_IL_001Midewin,1,,1,,2,,,,,,,,,1
NR_MT_008Northern Cheyenne BI,1,0,0,1,3,0,0,0,0,0,0,0,0,0
NR_MT_008Options Run,1,0,0,0,2,0,0,1,1,2,0,0,0,1
RM_CO_001Wilderness,1,,,,2,,,,,,,,,
RM_CO_001FLENGTH_Suppression,1,1,1,,4,,,1,1,2,,,,2
RM_CO_001ROS Suppression,1,0,1,,2,,,1,1,2,,,,1
RM_WY_003Timber/Grass mix,1,,1,,2,,,1,1,,,,,0
RM_WY_003Sage/Grass,1,,0,,3,,,0,0,,,,,0
RM_WY_003Timber,1,,1,,2,,,1,1,,,,,0
EA_MO_001Mark Twain,2,,2,1,1,,,2,1,,,,0,
EA_NH_001FPU16 General Logic,2,,1,,2,,,,0,,,,,0
EA_WV_001MOF_all,2,,3,1,6,,,,1,,,,,
EA_WV_001MOF_limited Eq use,2,,4,1,4,,,,1,,,,,
EA_WV_001MOF_wilderness_CRV,2,,4,,2,,,,1,,,,,
EA_WV_001NPS all,2,,6,,8,,,,1,,,,,
NW_WA_004TBR Dispatch,2,,1,,2,,,,,,0,,,1
NW_WA_004COF Roaded,2,1,2,,2,,,1,1,1,,,,
NW_WA_004COF WILD/Roadless,2,1,2,,2,,,1,1,1,1,2,,
CA_CA_002Limited Access,2,2,2,0,3,0,0,2,1,0,1,6,0,1
CA_CA_002LVNP Wilderness,2,0,1,0,2,0,0,1,1,0,1,1,0,0
CA_CA_002LVNP General Forest,2,0,1,0,3,0,0,1,1,0,0,0,0,1
CA_CA_002High Wilderness,2,1,2,0,2,0,0,2,1,0,1,6,0,0
CA_CA_002General Forest/Range,2,1,2,1,4,0,0,1,1,0,0,0,0,2
CA_CA_007High Elev NonWild,2,0,1,0,2,0,0,1,1,0,0,,,0
CA_CA_007Other,2,1,1,0,3,0,0,1,1,0,0,,,1
CA_CA_007Wilderness,2,0,1,0,0,0,0,1,1,0,0,,,0
CA_CA_007WUI,2,2,2,1,4,0,0,1,1,0,0,,,1
CA_CA_015CA FPU 15 WUI,2,2,3,2,15,0,0,2,2,3,0,0,0,3
CA_CA_011WUI,2,3,2,2,5,,,2,3,2,,,,2
CA_CA_011Other,2,2,2,,4,,,2,2,2,0,0,,2
CA_CA_011Wilderness,2,2,2,,3,,,2,2,1,0,0,,2
NW_OR_001Siuslaw North,2,0,,0,3,0,,,0,,,,,1
NW_OR_001Siuslaw South,2,0,,0,3,0,,,1,,,,,1
NW_OR_001Forest Access 2,2,1,4,,2,,,,1,,0,0,,
NW_OR_001Wilderness 2,2,,4,,2,,,,1,,1,4,,
NW_OR_001Northwest 2,2,0,,0,4,0,,,0,,,,,0
NW_OR_001Southwest 2,2,0,,0,4,0,,,0,,,,,0
NW_OR_004Wild Study Area,2,,1,0,2,,,,,,,,,
NW_OR_004WS WUI,2,,,,2,,,1,1,,,,,
NW_OR_004WS Timber,2,,,,2,,,,,,,,,
NW_OR_004General Forest,2,,1,,3,,,,,,,,,1
NW_OR_004WUI,2,,1,,2,,,,,,,,,1
NW_OR_004Juniper Sage,2,,1,,2,,,,,,,,,
NW_OR_004Wilderness,2,,1,,1,,,,,,,,,
NW_OR_004WS ConditionUse,2,,,,1,,,,1,,,,,
NW_OR_005H1-SP,2,1,2,1,2,,,2,1,1,,,,1
NW_OR_005P1/P2,2,1,2,1,2,,,2,1,1,,,,1
NW_OR_005NF-1/NF-1SP,2,1,3,1,2,,,2,1,1,,,,1
NW_OR_005WW-1,2,1,3,,1,,,3,1,1,1,3,,
NW_OR_005WildernessUMF,2,1,3,,1,,,2,1,1,1,3,,
NW_OR_005PDT-1,2,1,1,1,4,,,1,1,1,,,,1
NW_OR_005Mission WUI,2,,1,1,5,,,,1,1,,,,1
NW_OR_005WW2/2A,2,1,3,1,4,,,1,1,1,,,,1
NW_OR_006base2,2,0,1,1,3,,,4,1,1,,,,1
NW_OR_006brown,2,0,1,1,2,,,4,1,1,,,,1
NW_OR_006OE SMA,2,0,1,0,2,,,4,1,1,,,,1
NW_OR_006base,2,0,1,1,4,,,4,1,1,,,,1
NW_OR_006Ironside,2,1,1,1,3,,,4,1,1,,,,1
NW_OR_007Silver,2,,,,2,,,1,1,1,,,,
NW_OR_007Alvord North,2,,,,2,,,2,1,1,,,,
NW_OR_007Diamond,2,,,,2,,,2,1,1,,,,
NW_OR_007Guano,2,,,1,2,,,2,1,1,,,,
NW_OR_007Thousand/Virgin,2,,,,2,,,,,1,,,,
NW_OR_007Upper Malheur,2,,,,2,,,1,1,1,,,,
NW_OR_007Home Creek,2,,2,,2,,,3,1,,1,3,,
NW_OR_007Lakes,2,,,,2,,,1,1,1,,,,
NW_OR_007Silvies,2,,1,,2,,,2,1,1,,,,1
NW_OR_007Snow Mountian North,2,,1,,2,,,3,1,,1,2,,
NW_OR_007Snow Mountain South,2,,1,,2,,,2,1,1,,,,
NW_OR_007Steens,2,,1,,1,,,2,1,1,1,2,,
NW_OR_008Desert,2,0,1,0,3,,,1,1,0,0,0,,1
NW_OR_008Timber Special,2,0,1,1,3,,,1,1,1,0,0,,1
NW_OR_008Timber,2,0,1,0,3,,,1,1,1,0,0,,1
NW_OR_008Timber West,2,0,1,1,3,,,1,1,0,0,0,,0
NW_OR_008State and Private,2,1,1,2,4,,,1,1,1,0,0,,1
CA_CA_005CA-CA-05,2,1,1,1,4,,,1,1,,1,1,,1
CA_CA_005Bay Area Parks,2,1,1,1,4,,,1,1,,0,0,,1
CA_CA_005Wilderness,2,1,1,0,4,,,1,1,,2,2,,1
CA_CA_003Wilderness,2,,1,,2,,,,,,,,,
CA_CA_003General suppression,2,1,1,1,6,,,1,1,,,,,
CA_CA_003High resource values,2,1,2,1,4,,,1,1,1,,,,1
CA_CA_003SW Wilderness,2,,2,,2,,,1,1,,1,4,,
CA_CA_001KNFnotWild,2,2,2,2,6,,,2,2,,1,4,,3
CA_CA_001KNFWild,2,2,2,0,3,,,2,2,,1,8,,0
CA_CA_001Other sensitive,2,,2,,2,,,1,1,,0,0,,1
CA_CA_001Wilderness,2,,2,,0,,,6,1,,1,1,,0
CA_CA_001SRFWild,2,1,1,,1,,,2,2,,1,8,,
CA_CA_001WUI,2,2,2,2,4,,,6,1,,0,0,,2
CA_CA_001SRFWUI_HIA_YIA,2,1,2,1,4,,,2,1,,,,,1
CA_CA_001SRFGen,2,1,1,,2,,,2,1,,,,,2
CA_CA_001RWPALL,2,0,1,0,2,,,0,0,,,,,0
NW_OR_009Block Card B-14,2,,2,,3,,,,1,,,,,
NW_OR_009Block Card B-5,2,,2,0,3,,,2,1,,,,,0
NW_OR_009Block Card W-1,2,,2,0,2,,,2,1,,,,,
NW_OR_009Block Card W-2,2,,1,1,2,,,2,1,,,,,
NW_OR_009Block Card B-3,2,,2,1,3,,,2,1,,,,,0
NW_OR_009State,2,,2,1,3,,,2,1,,,,,0
NW_OR_009Block Card L-7,2,,0,,3,,,4,1,,,,,
NW_OR_009Block Card L-6,2,,0,1,3,,,0,0,,,,,0
NW_OR_009Block Card B-16,2,,2,,1,,,4,1,,,,,
NW_OR_009FMU - Eagle Cap,2,,2,,0,,,4,1,,,,,
NW_OR_009Block Card B-10,2,,2,1,4,,,0,0,,,,,
NW_OR_009Block Card W-17,2,,1,1,1,,,4,1,,,,,
NW_OR_009Block Card B-7,2,,1,1,3,,,,,,,,,
NW_OR_009Block Card W-7,2,,1,,2,,,4,1,,,,,
NW_OR_009Block Card W-9,2,,1,,1,,,4,1,1,,,,
NW_OR_009Block Card W-10,2,,2,0,0,,,1,1,,,,,
NW_OR_009Block Card W-18,2,,1,,1,,,4,1,1,,,,
NW_OR_009Block Card B-11,2,,2,,1,,,,,,,,,
NW_OR_009Block Card L-5,2,,1,1,4,,,0,0,,,,,0
NW_OR_010Wilderness,2,,1,,1,,,3,1,1,1,1,,
NW_OR_010General Forest,2,,1,,2,,,1,1,,,,,
NW_OR_011WUI type,2,0,2,2,5,,,,1,,,,,2
NW_OR_011general forest type,2,,1,1,3,,,,0,,,,,1
NW_WA_001San Juan NW001,2,,1,,2,,,,,,,,,1
NW_WA_001Lewis NW001,2,,,,2,,,,,,,,,1
NW_WA_001Olympic Crew NW001,2,,1,,3,,,0,0,,0,0,,0
NW_WA_001Standard NW001,2,,1,,3,,,,0,0,0,0,,0
NW_WA_002NZ SZ Protection,2,,1,,2,,,,,,,,,
NW_WA_002NZ GF Revision 1,2,,1,,2,,,0,0,,1,2,,
NW_WA_002SZ Wild Rev 1,2,,2,,1,,,2,1,,1,2,,
NW_WA_002NZ SZ Protect Rev 1,2,,1,,2,,,,,,,,,
