changes,resource name,resource type,staffing,shift start time,shift end time,start day,end day,season start day,season end day,dipatch location,% avail,daily cost,hourly cost,water volume (gal),severity resource,full time employees (FTE),number of positions,annual costs,vehicle costs,fpu,fixed location,borrowable,agency,If HELI attached Helicopter,Question/Comments
,SHFCREW1,CRW,20,900,1800,4,1,1,365,Harrison Gulch,75,0,0,0,n,14.5,20,667356,0,CA_CA_004,0,1,FS,,
,SHFCREW5,CRW,20,900,1800,5,2,1,365,Lakeshore,75,0,0,0,n,14.5,20,667356,0,CA_CA_004,0,1,FS,,
,SHFDOZER29,DZR2,2,900,1800,1,7,1,365,Hayfork,100,0,0,0,n,3,3,214021,0,CA_CA_004,0,1,FS,,
,SHFDOZER79,DZR2,2,900,1800,1,7,1,365,McCloud,100,0,0,0,n,3,3,214021,0,CA_CA_004,0,1,FS,,
,SHFE11,EN34,5,900,1800,1,7,1,365,Harrison Gulch,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE12,EN34,5,900,1800,1,7,1,365,Harrison Gulch,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE21,EN34,5,900,1800,1,7,1,365,Hayfork,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE22,EN34,5,900,1800,1,7,1,365,Hyampom (Hayfork),100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE23,EN34,5,900,1800,1,7,1,365,Forest Glen,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE31,EN34,5,900,1800,1,7,1,365,Big Bar,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE32,EN34,5,900,1800,1,7,1,365,Junction City,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE34,EN34,5,900,1800,1,7,1,365,Burnt Ranch,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE41,EN34,5,900,1800,1,7,1,365,Mule Creek,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE42,EN34,5,900,1800,1,7,1,365,Coffee Creek,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE43,EN34,5,900,1800,1,7,1,365,Weaverville,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE51,EN34,5,930,1800,1,7,1,365,Lakeshore,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE52,EN34,5,900,1800,1,7,1,365,Mountain Gate,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE53,EN34,5,900,1800,1,7,1,365,Big Bend,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE61,EN34,5,900,1800,1,7,1,365,Mt. Shasta,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE62,EN34,5,900,1800,1,7,1,365,Mt. Shasta,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE63,EN34,5,900,1800,1,7,1,365,Sims,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE71,EN34,5,900,1800,1,7,1,365,McCloud,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE72,EN34,5,900,1800,1,7,1,365,Ash Creek,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFE73,EN34,5,900,1800,1,7,1,365,Ash Creek,100,0,0,500,n,6,7,287955,0,CA_CA_004,0,1,FS,,
,SHFH506,HEL2,1,900,1800,1,7,148,297,Trinity Helibase,100,0,0,0,n,0,1,0,0,CA_CA_004,0,1,FS,n/a,150 day contract
,SHFWT16,WT,2,900,1800,1,7,1,365,Harrison Gulch,100,0,0,0,n,2.5,3,100201,0,CA_CA_004,0,1,FS,,
,SHFWT36,WT,2,900,1800,1,7,1,365,Big Bar,100,0,0,0,n,2.5,3,100201,0,CA_CA_004,0,1,FS,,
,SHFWT46,WT,2,900,1800,1,7,1,365,Coffee Creek,100,0,0,0,n,2.5,3,100201,0,CA_CA_004,0,1,FS,,
,SHFWT56,WT,2,900,1800,1,7,1,365,Lakeshore,100,0,0,0,n,2.5,3,100201,0,CA_CA_004,0,1,FS,,
,SHFWT66,WT,2,900,1800,1,7,1,365,Mt. Shasta,100,0,0,0,n,2.5,3,100201,0,CA_CA_004,0,1,FS,,
,WNPE2,EN34,5,900,1800,1,7,1,365,Whiskeytown,100,0,0,500,n,4.45,7,257579,0,CA_CA_004,0,1,NPS,,
,BTU2127,EN34,4,500,2345,1,7,105,302,Cohasset - BTU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,BTU2128,EN34,4,500,2345,1,7,105,302,Forest Ranch - BTU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,BTU2129,EN34,4,500,2345,1,7,105,302,Harts Mill - BTU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,BTU2130,EN34,4,500,2345,1,7,105,302,Jarbo Gap - BTU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,BTU2132,EN34,4,500,2345,1,7,105,302,Paradise - BTU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,BTUDozer,DZR2,1,500,2345,1,7,105,302,Oroville - BTU,100,0,0,0,n,0,1,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,Bieber Heli,HEL2,1,900,1800,1,7,105,302,Bieber - LMU,100,0,0,0,n,0,1,0,0,CA_CA_004,0,1,STATE/LOCAL,n/a,198 days
,Bieber Helitack,HELI,7,900,1800,1,7,105,302,Bieber - LMU,100,0,0,0,n,0,7,0,0,CA_CA_004,0,1,STATE/LOCAL,Bieber Heli,"HELI 198 days, attached HEL 198 days"
,LMUIntermtnCrew,CRW,15,900,1800,1,7,105,302,Intermountain - LMU,100,0,0,0,n,0,15,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUDozer,DZR2,1,500,2345,1,7,105,302,Redding 2- SHU,100,0,0,0,n,0,1,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2460,EN34,4,500,2345,1,7,105,302,Shingletown - SHU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2463,EN34,4,500,2345,1,7,105,302,Big Bend - SHU,75,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2464,EN34,4,500,2345,1,7,105,302,Shasta - SHU,75,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2465,EN34,4,500,2345,1,7,105,302,Ono - SHU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2466,EN34,4,500,2345,1,7,105,302,Fawn Lodge - SHU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2467,EN34,4,500,2345,1,7,105,302,Whitmore - SHU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2468,EN34,4,500,2345,1,7,105,302,Hayfork - SHU,75,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2469,EN34,4,500,2345,1,7,105,302,Buckhorn - SHU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2475,EN34,4,500,2345,1,7,105,302,Weaverville - SHU,75,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2479,EN34,4,500,2345,1,7,105,302,Redding - SHU,75,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUE2485,EN34,4,500,2345,1,7,105,302,Diddy Wells - SHU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUSugarPine,CRW,15,900,1800,1,7,105,302,Sugar Pine - SHU,100,0,0,0,n,0,15,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUTrinityCrew,CRW,15,900,1800,1,7,105,302,Trinity River - SHU,100,0,0,0,n,0,15,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SHUTrinityCrew1,CRW,15,900,1800,1,7,105,302,Trinity River 1 - SHU,100,0,0,0,n,0,15,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SKUDeadwoodCrew,CRW,15,900,1800,1,7,105,302,Deadwood - SKU,100,0,0,0,n,0,15,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SKUE2667,EN34,4,500,2345,1,7,105,302,Pondosa - SKU,75,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SKUE2682,EN34,4,500,2345,1,7,105,302,McCloud - SKU,75,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,SKUE2683,EN34,4,500,2345,1,7,105,302,Weed - SKU,75,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,TGU2553,EN34,4,500,2345,1,7,105,302,Baker - TGU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,TGU2556,EN34,4,500,2345,1,7,105,302,Manton - TGU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,TGU2557,EN34,4,500,2345,1,7,105,302,Paskenta - TGU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,TGU2558,EN34,4,500,2345,1,7,105,302,Red Bank - TGU,100,0,0,500,n,0,4,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,TGUIshi,CRW,15,900,1800,1,7,105,302,Ishi - TGU,100,0,0,0,n,0,15,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,TGUIshi2,CRW,15,900,1800,1,7,105,302,Ishi 2 - TGU,100,0,0,0,n,0,15,0,0,CA_CA_004,0,1,STATE/LOCAL,,
,CA-MNF-C4,CRW,20,930,1800,6,4,1,365,Upper Lake FS,80,0,0,0,n,12,20,672062,0,CA_CA_005,0,1,FS,,
,CA-MNF-D3,DZR2,2,930,1800,1,7,1,365,Stonyford FS,95,0,0,0,n,2.5,3,217567,0,CA_CA_005,0,1,FS,,
,CA-MNF-E32,EN34,5,930,1800,1,7,1,365,Alder Springs FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E33,EN34,5,930,1800,1,7,1,365,Stonyford FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E34,EN34,5,930,1800,1,7,1,365,Paskenta FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E35,EN34,5,930,1800,1,7,1,365,Paskenta FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E36,EN34,5,930,1800,1,7,1,365,Stonyford FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E42,EN34,5,930,1800,1,7,1,365,Upper Lake FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E43,EN34,5,930,1800,1,7,1,365,Soda Creek FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E44,EN34,5,930,1800,1,7,1,365,Soda Creek FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E45,EN34,5,930,1800,1,7,1,365,Upper Lake FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E52,EN34,5,930,1800,1,7,1,365,Eel River FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-E53,EN34,5,930,1800,1,7,1,365,Covelo FS,100,0,0,500,n,4.5,7,292440,0,CA_CA_005,0,1,FS,,
,CA-MNF-WT38,WT,2,930,1800,1,7,1,365,Stonyford FS,100,0,0,0,n,2.5,3,101254,0,CA_CA_005,0,1,FS,,
,CA-MNF-WT39,WT,2,930,1800,1,7,1,365,Paskenta FS,100,0,0,0,n,2.5,3,101254,0,CA_CA_005,0,1,FS,,
,CA-MNF-WT48,WT,2,930,1800,1,7,1,365,Upper Lake FS,100,0,0,0,n,2.5,3,101254,0,CA_CA_005,0,1,FS,,
,CA-MNF-WT58,WT,2,930,1800,1,7,1,365,Eel River FS,100,0,0,0,n,2.5,3,101254,0,CA_CA_005,0,1,FS,,
,CA-SWR-E8430,EN34,5,930,1800,1,7,1,365,Sacramento NWRC HQ,100,0,0,500,n,5,5,54132,0,CA_CA_005,0,1,FWS,,
,CA-SWR-E8432,EN34,5,930,1800,1,7,1,365,Sacramento NWRC HQ,100,0,0,500,n,5,5,54132,0,CA_CA_005,0,1,FWS,,
,CA-GNP-1166-m20,EN56,3,800,1700,2,6,1,365,Fort Cronkite NPS,100,0,0,300,n,2.26,5,66886,0,CA_CA_005,0,1,NPS,,
,CA-GNP-1166-p20,EN56,5,800,1700,1,7,1,365,Fort Cronkite NPS,100,0,0,300,n,3.5,7,159380,0,CA_CA_005,0,1,NPS,,
,CA-GNP-E1166,EN56,3,800,1700,1,7,1,365,Fort Cronkite NPS,100,0,0,300,n,2.26,5,113103,0,CA_CA_005,0,1,NPS,,
,CA-PRP-ENG01,EN12,3,0,2345,1,7,1,365,Presidio Fire Station,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,NPS,,Positions are not ? staffing
,CA-PRP-ENG02,EN12,3,0,2345,1,7,1,365,Presidio Fire Station,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,NPS,,Positions are not ? staffing
,CA-PRP-ENG03,EN34,3,0,2345,1,7,1,365,Presidio Fire Station,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,NPS,,Positions are not ? staffing
,CA-PRP-ENG04,EN34,3,0,2345,1,7,1,365,Presidio Fire Station,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,NPS,,Positions are not ? staffing
,CA-RNP-E31,EN34,4,800,1700,1,7,1,365,Bear Valley HQ NPS,100,0,0,500,n,2.26,4,117983,0,CA_CA_005,0,1,NPS,,
,CA-CZU-E1,EN34,3,0,2345,1,7,1,365,Belmont FFS,100,0,0,500,n,0,3,0,0,CA_CA_005,0,1,STATE/LOCAL,,
,CA-LNU-1450,EN34,3,0,2345,1,7,1,365,Las Posadas FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1451,EN34,3,0,2345,1,7,1,365,Middletown FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1452,EN34,3,0,2345,1,7,1,365,Middletown FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1453,EN34,3,0,2345,1,7,1,365,Clear Lake Oaks FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1454,EN34,3,0,2345,1,7,1,365,Gordon Valley FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1455,EN34,3,0,2345,1,7,1,365,Brooks FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1456,EN34,3,0,2345,1,7,1,365,Wilbur Springs FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1457,EN34,3,0,2345,1,7,1,365,Occidental FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1458,EN34,3,0,2345,1,7,1,365,Leesville FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1459,EN34,3,0,2345,1,7,1,365,Spanish Flatt FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1460,EN34,3,0,2345,1,7,1,365,Glen Ellen FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1461,EN34,3,0,2345,1,7,1,365,Healdsburg FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1462,EN34,3,0,2345,1,7,1,365,Occidental FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1463,EN34,3,0,2345,1,7,1,365,Hilton FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1464,EN34,3,0,2345,1,7,1,365,Sea Ranch FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1465,EN34,3,0,2345,1,7,1,365,Cazadero FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1466,EN34,3,0,2345,1,7,1,365,Cloverdale FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1467,EN34,3,0,2345,1,7,1,365,Spanish Flatt FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1468,EN34,3,0,2345,1,7,1,365,Kelsey-Cobb FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1469,EN34,3,0,2345,1,7,1,365,Glen Ellen FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1472,EN34,3,0,2345,1,7,1,365,Napa FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1473,EN34,3,0,2345,1,7,1,365,Clear Lake Oaks FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1475,EN34,3,0,2345,1,7,1,365,Hilton FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1476,EN34,3,0,2345,1,7,1,365,Petaluma FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1477,EN34,3,0,2345,1,7,1,365,Santa Rosa FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1478,EN34,3,0,2345,1,7,1,365,Kelsey-Cobb FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1479,EN34,3,0,2345,1,7,1,365,Saint Helena FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1481,EN34,3,0,2345,1,7,1,365,Healdsburg FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1482,EN34,3,0,2345,1,7,1,365,Saint Helena FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1483,EN34,3,0,2345,1,7,1,365,Cloverdale FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1491,EN34,3,0,2345,1,7,1,365,Konocti CC,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1493,EN34,3,0,2345,1,7,1,365,Saint Helena FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-1499,EN34,3,0,2345,1,7,1,365,Delta CC,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-D1444,DZR2,1,0,2345,1,7,1,365,Clear Lake Oaks FFS,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-D1448,DZR2,1,0,2345,1,7,1,365,Middletown FFS,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-Delta-C1,CRW,15,800,1700,1,7,1,365,Delta CC,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-Delta-C2,CRW,15,800,1700,1,7,1,365,Delta CC,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-H104,HEL2,2,800,1800,1,7,1,365,Boggs Mtn HB,75,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,n/a,365 days.  Positions are not ? staffing
,CA-LNU-H104-Crw,HELI,8,800,1700,1,7,1,365,Boggs Mtn HB,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,CA-LNU-H104,HELI 365 days; attached HEL 365 days.  Positions are not ? staffing
,CA-LNU-KN CW-1,CRW,15,800,1700,1,7,1,365,Konocti CC,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-LNU-KN CW-2,CRW,15,800,1700,1,7,1,365,Konocti CC,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1160,EN34,3,0,2345,1,7,1,365,Leggit FFS,100,0,0,500,n,0,3,0,0,CA_CA_005,0,1,STATE/LOCAL,,
,CA-MEU-1161,EN34,3,0,2345,1,7,1,365,Boonville FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1162,EN34,3,0,2345,1,7,1,365,Covelo FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1163,EN34,3,0,2345,1,7,1,365,Woodlands FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1164,EN34,3,0,2345,1,7,1,365,Point Arena FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1165,EN34,3,0,2345,1,7,1,365,Ukiah FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1166,EN34,3,0,2345,1,7,1,365,Laytonville FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1167,EN34,3,0,2345,1,7,1,365,Hopland FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1168,EN34,3,0,2345,1,7,1,365,Fort Bragg FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1169,EN34,3,0,2345,1,7,1,365,Howard Forest FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1176,EN34,3,0,2345,1,7,1,365,Covelo FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1178,EN34,3,0,2345,1,7,1,365,Howard Forest FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1179,EN34,3,0,2345,1,7,1,365,Ukiah FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1182,EN34,3,0,2345,1,7,1,365,Leggit FFS,100,0,0,500,n,0,3,0,0,CA_CA_005,0,1,STATE/LOCAL,,
,CA-MEU-1184,EN34,3,0,2345,1,7,1,365,Laytonville FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-1192,EN34,3,0,2345,1,7,1,365,Boonville FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-CC CW 1,CRW,15,800,1700,1,7,1,365,Chamberlain Crk CC,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-CC CW-2,CRW,15,800,1700,1,7,1,365,Chamberlain Crk CC,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-D1140,DZR2,1,0,2345,1,7,1,365,Boonville FFS,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-D1141,DZR2,1,0,2345,1,7,1,365,Covelo FFS,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-D1142,DZR1,1,0,2345,1,7,1,365,Howard Forest FFS,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-D1143,DZR1,1,0,2345,1,7,1,365,Ukiah FFS,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-H101,HEL2,2,800,1800,1,7,1,365,Howard Forest HB,75,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,n/a,365 days.  Positions are not ? staffing
,CA-MEU-H101_Crw,HELI,8,800,1700,1,7,1,365,Howard Forest HB,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,CA-MEU-H101,"HELI 365 days, attached HEL 365 days.  Positions are not ? staffing"
,CA-MEU-PF CW 1,CRW,15,800,1700,1,7,1,365,Parlin Fork CC,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MEU-PF CW 2,CRW,15,800,1700,1,7,1,365,Parlin Fork CC,100,0,0,0,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
,CA-MRN CW-1,CRW,13,800,1700,1,7,1,365,Hamilton Field FS,80,0,0,0,n,0,13,0,0,CA_CA_005,0,1,STATE/LOCAL,,
,CA-SCU-E1,EN34,3,0,2345,1,7,1,365,Castle Rock FFS,100,0,0,500,n,0,3,0,0,CA_CA_005,0,1,STATE/LOCAL,,
,CA-SCU-E2,EN34,3,0,2345,1,7,1,365,Sunol FFS,100,0,0,500,n,0,3,0,0,CA_CA_005,0,1,STATE/LOCAL,,
,CA-SCU-E3,EN34,3,0,2345,1,7,1,365,Sunshine FFS,100,0,0,500,n,0,3,0,0,CA_CA_005,0,1,STATE/LOCAL,,
,CA-TGU-2551,EN34,3,0,2345,1,7,1,365,Red Bluff FFS,100,0,0,500,n,0,0,0,0,CA_CA_005,0,1,STATE/LOCAL,,Positions are not ? staffing
